PID	Status	Label
-	0	com.apple.systempreferences.install
-	0	com.apple.cmio.IIDCVideoAssistant
8424	-15	com.apple.security.syspolicy
1036	0	com.openssh.sshd.C8E290AA-818F-49FC-90B3-D4A5ABE7F13E
209	0	com.apple.usbd
91	0	com.apple.mDNSResponder.reloaded
108	0	com.apple.distnoted.xpc.daemon
-	0	com.apple.bsd.dirhelper
93	0	com.apple.revisiond
-	0	com.apple.smb.preferences
-	0	com.apple.findmymacd
-	0	com.apple.cloudfamilyrestrictionsd
115	0	com.apple.cfprefsd.xpc.daemon
-	0	com.apple.Localization.SetDefaultsService
-	0	com.apple.unmountassistant.sysagent
-	0	com.apple.uninstalld
-	0	com.apple.xpc.smd
-	0	com.apple.gkreport
-	0	com.apple.gssd.DE000000-A086-0100-0000-000000000000
-	0	com.apple.updateEFIDesktopPicture
-	0	com.apple.colorsyncd
-	0	com.apple.backupd
54	0	org.fusioninventory.agent
-	0	com.apple.airport.wps
704	0	com.apple.systemstatsd
-	0	com.apple.nfsconf
-	0	com.apple.netauth.sys.auth
100	0	com.apple.MobileFileIntegrity
-	0	com.apple.configureLocalKDC
519	0	com.apple.spindump
63	0	com.apple.metadata.mds
-	0	com.apple.lockd
-	0	com.apple.wwand
-	0	com.apple.printtool.daemon
-	0	com.apple.fontd
211	0	com.apple.cmio.VDCAssistant
-	0	com.apple.security.authhost
-	0	com.apple.security.agent.login
-	0	com.apple.pfctl
-	0	com.apple.CommCenterRootHelper
-	0	com.apple.gssd
459	0	com.apple.PerformanceAnalysis.animationperfd
75	0	com.apple.wirelessproxd
-	0	com.apple.security.agent.login.00000000-0000-0000-0000-0000000186A7
-	0	com.apple.loginwindow.LFVTracer
78	0	com.apple.coreservices.launchservicesd
-	0	com.apple.afpfs_afpLoad
-	0	com.apple.platform.ptmd
-	0	com.apple.dynamic_pager
8428	0	com.adobe.ARMDC.SMJobBlessHelper
-	0	com.apple.csrutil.report
-	0	com.apple.iokit.ioserviceauthorized
208	0	org.ntp.ntpd
-	0	com.apple.Kerberos.kdc
-	0	com.apple.softwareupdatecheck.initial
-	0	com.apple.msrpc.srvsvc
-	0	com.apple.bnepd
-	0	com.apple.familycontrols
-	0	com.apple.dpaudiothru
-	0	com.apple.diagnostic.uuidpathd
-	0	com.apple.nis.ypbind
-	0	com.apple.kcproxy
291	0	com.apple.AmbientDisplayAgent
-	0	com.apple.storeagent.daemon
-	0	org.macosforge.xquartz.privileged_startx
-	0	com.apple.installandsetup.systemmigrationd
-	0	com.apple.metadata.mds.spindump
-	0	com.apple.Kerberos.kpasswdd
-	0	com.apple.msrpc.wkssvc
-	0	com.apple.awacsd
62	0	com.apple.warmd
-	0	com.teamviewer.Helper
-	0	com.apple.xpc.uscwoap
-	0	com.apple.WirelessRadioManagerd-osx
-	0	com.apple.powerd.swd
-	0	com.apple.ManagedClient
69	0	com.apple.diskarbitrationd
-	0	com.apple.systemstats.daily
-	0	com.apple.netauth.sys.gui
74	0	com.apple.opendirectoryd
210	0	com.apple.ifdreader
-	0	com.apple.bluetoothaudiod
77	0	com.apple.apsd
-	0	com.apple.ManagedClient.cloudconfigurationd
-	0	com.apple.PCIELaneConfigTool
-	0	com.apple.GameController.gamecontrollerd
-	0	com.apple.sessionlogoutd
-	0	com.apple.storeaccountd.daemon
-	0	com.apple.cmio.AVCAssistant
870	0	com.apple.diskmanagementd
317	0	com.apple.CodeSigningHelper
212	0	com.apple.sysmond
-	0	com.apple.storeassetd.daemon
135	0	com.apple.sandboxd
